timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2016-04-08T00:00:00.000Z";"2016-04-08T23:59:59.999Z";"2016-04-08T08:14:22.000Z";"2016-04-08T21:34:22.000Z";"2781";422.9070129395;425.3609924316;419.6350097656;420.3489990234;63454700;6477294354.43;"2016-04-08T23:59:59.999Z"
"2016-04-07T00:00:00.000Z";"2016-04-07T23:59:59.999Z";"2016-04-07T17:14:22.000Z";"2016-04-07T04:34:20.000Z";"2781";423.6199951172;423.6570129395;420.5180053711;422.7449951172;57858600;6512693215.12;"2016-04-07T23:59:59.999Z"
"2016-04-06T00:00:00.000Z";"2016-04-06T23:59:59.999Z";"2016-04-06T02:09:22.000Z";"2016-04-06T17:59:21.000Z";"2781";424.283996582;424.5270080566;422.7290039063;423.4129943848;59091000;6521491708.6;"2016-04-06T23:59:59.999Z"
"2016-04-05T00:00:00.000Z";"2016-04-05T23:59:59.999Z";"2016-04-05T23:34:21.000Z";"2016-04-05T01:34:25.000Z";"2781";421.016998291;424.2569885254;420.6140136719;424.0299987793;60718000;6529351749.75;"2016-04-05T23:59:59.999Z"
"2016-04-04T00:00:00.000Z";"2016-04-04T23:59:59.999Z";"2016-04-04T06:54:21.000Z";"2016-04-04T15:34:20.000Z";"2781";421.2990112305;422.3429870605;419.6010131836;421.4440002441;50634300;6487898585.8;"2016-04-04T23:59:59.999Z"
"2016-04-03T00:00:00.000Z";"2016-04-03T23:59:59.999Z";"2016-04-03T15:14:20.000Z";"2016-04-03T20:49:23.000Z";"2781";421.1730041504;421.5799865723;419.6969909668;420.9039916992;38053700;6477828308.6;"2016-04-03T23:59:59.999Z"
"2016-04-02T00:00:00.000Z";"2016-04-02T23:59:59.999Z";"2016-04-02T01:14:21.000Z";"2016-04-02T00:04:23.000Z";"2781";418.4219970703;422.0809936523;418.4219970703;420.8729858398;45681200;6475857110.93;"2016-04-02T23:59:59.999Z"
"2016-04-01T00:00:00.000Z";"2016-04-01T23:59:59.999Z";"2016-04-01T14:44:20.000Z";"2016-04-01T09:29:21.000Z";"2781";416.7600097656;418.1730041504;415.8309936523;417.9599914551;51235700;6429593619;"2016-04-01T23:59:59.999Z"
"2016-03-31T00:00:00.000Z";"2016-03-31T23:59:59.999Z";"2016-03-31T21:24:22.000Z";"2016-03-31T00:04:21.000Z";"2781";415.2569885254;418.3689880371;415.2569885254;416.7290039063;60215200;6409062819.05;"2016-03-31T23:59:59.999Z"
"2016-03-30T00:00:00.000Z";"2016-03-30T23:59:59.999Z";"2016-03-30T00:04:21.000Z";"2016-03-30T07:39:20.000Z";"2781";416.8340148926;416.8340148926;412.4960021973;414.8160095215;66034100;6378356001.6;"2016-03-30T23:59:59.999Z"
"2016-03-29T00:00:00.000Z";"2016-03-29T23:59:59.999Z";"2016-03-29T02:29:23.000Z";"2016-03-29T12:14:20.000Z";"2781";424.3039855957;426.2030029297;412.6809997559;416.5159912109;75411504;6402954687.4;"2016-03-29T23:59:59.999Z"
"2016-03-28T00:00:00.000Z";"2016-03-28T23:59:59.999Z";"2016-03-28T06:04:21.000Z";"2016-03-28T16:44:22.000Z";"2781";426.5480041504;426.8569946289;423.2929992676;424.2309875488;68522800;6519889575.48;"2016-03-28T23:59:59.999Z"
"2016-03-27T00:00:00.000Z";"2016-03-27T23:59:59.999Z";"2016-03-27T17:04:19.000Z";"2016-03-27T02:49:22.000Z";"2781";418.1400146484;428.7969970703;417.7109985352;426.7650146484;71229400;6557030842.5;"2016-03-27T23:59:59.999Z"
"2016-03-26T00:00:00.000Z";"2016-03-26T23:59:59.999Z";"2016-03-26T01:49:22.000Z";"2016-03-26T13:14:21.000Z";"2781";417.3649902344;418.9869995117;416.2590026855;417.9450073242;44650400;6420042696.38;"2016-03-26T23:59:59.999Z"
"2016-03-25T00:00:00.000Z";"2016-03-25T23:59:59.999Z";"2016-03-25T16:34:21.000Z";"2016-03-25T01:09:21.000Z";"2781";416.5079956055;418.0799865723;415.558013916;417.1770019531;52560000;6406608047.85;"2016-03-25T23:59:59.999Z"
"2016-03-24T00:00:00.000Z";"2016-03-24T23:59:59.999Z";"2016-03-24T00:39:20.000Z";"2016-03-24T09:44:20.000Z";"2781";418.4240112305;418.6799926758;415.4859924316;416.3940124512;68346704;6393094869.15;"2016-03-24T23:59:59.999Z"
"2016-03-23T00:00:00.000Z";"2016-03-23T23:59:59.999Z";"2016-03-23T21:49:22.000Z";"2016-03-23T15:04:22.000Z";"2781";418.1610107422;419.2680053711;417.3640136719;418.0409851074;61444200;6416845741.8;"2016-03-23T23:59:59.999Z"
"2016-03-22T00:00:00.000Z";"2016-03-22T23:59:59.999Z";"2016-03-22T11:19:25.000Z";"2016-03-22T01:39:24.000Z";"2781";413.1319885254;418.375;412.5310058594;418.0889892578;66813300;6416025150.68;"2016-03-22T23:59:59.999Z"
"2016-03-21T00:00:00.000Z";"2016-03-21T23:59:59.999Z";"2016-03-21T00:04:20.000Z";"2016-03-21T03:34:21.000Z";"2781";413.4179992676;413.4179992676;410.3810119629;413.3070068359;61655400;6341110984.12;"2016-03-21T23:59:59.999Z"
"2016-03-20T00:00:00.000Z";"2016-03-20T23:59:59.999Z";"2016-03-20T19:54:20.000Z";"2016-03-20T00:04:20.000Z";"2781";410.4010009766;414.625;410.4010009766;413.7550048828;45947900;6346546569.5;"2016-03-20T23:59:59.999Z"
"2016-03-19T00:00:00.000Z";"2016-03-19T23:59:59.999Z";"2016-03-19T08:04:21.000Z";"2016-03-19T19:09:22.000Z";"2781";409.2650146484;410.9840087891;407.2300109863;410.4440002441;58423000;6294271612.1;"2016-03-19T23:59:59.999Z"
"2016-03-18T00:00:00.000Z";"2016-03-18T23:59:59.999Z";"2016-03-18T00:04:19.000Z";"2016-03-18T19:49:19.000Z";"2781";420.5469970703;420.5469970703;406.1369934082;409.5480041504;104940000;6279128503.8;"2016-03-18T23:59:59.999Z"
"2016-03-17T00:00:00.000Z";"2016-03-17T23:59:59.999Z";"2016-03-17T19:24:20.000Z";"2016-03-17T00:04:20.000Z";"2781";417.8890075684;420.9970092773;417.8890075684;420.6210021973;83528600;6447467967.45;"2016-03-17T23:59:59.999Z"
"2016-03-16T00:00:00.000Z";"2016-03-16T23:59:59.999Z";"2016-03-16T11:04:21.000Z";"2016-03-16T08:14:20.000Z";"2781";416.8880004883;417.6860046387;415.9119873047;417.0109863281;65185800;6390672724.45;"2016-03-16T23:59:59.999Z"
"2016-03-15T00:00:00.000Z";"2016-03-15T23:59:59.999Z";"2016-03-15T04:54:19.000Z";"2016-03-15T14:59:19.000Z";"2781";416.3880004883;418.1310119629;414.9849853516;416.8299865723;66781700;6386304533.75;"2016-03-15T23:59:59.999Z"
"2016-03-14T00:00:00.000Z";"2016-03-14T23:59:59.999Z";"2016-03-14T06:24:21.000Z";"2016-03-14T00:04:19.000Z";"2781";414.2009887695;416.6839904785;414.2009887695;416.4379882813;95259400;6378632900.75;"2016-03-14T23:59:59.999Z"
"2016-03-13T00:00:00.000Z";"2016-03-13T23:59:59.999Z";"2016-03-13T12:39:20.000Z";"2016-03-13T00:09:19.000Z";"2781";411.6480102539;416.6040039063;411.641998291;414.0650024414;74322800;6340701564.5;"2016-03-13T23:59:59.999Z"
"2016-03-12T00:00:00.000Z";"2016-03-12T23:59:59.999Z";"2016-03-12T01:54:20.000Z";"2016-03-12T16:09:19.000Z";"2781";421.6050109863;421.7950134277;410.0939941406;411.6239929199;92712896;6301963440;"2016-03-12T23:59:59.999Z"
"2016-03-11T00:00:00.000Z";"2016-03-11T23:59:59.999Z";"2016-03-11T10:29:18.000Z";"2016-03-11T01:14:19.000Z";"2781";417.2380065918;423.925994873;417.0130004883;421.6900024414;73969696;6454555816;"2016-03-11T23:59:59.999Z"
"2016-03-10T00:00:00.000Z";"2016-03-10T23:59:59.999Z";"2016-03-10T21:59:19.000Z";"2016-03-10T02:59:19.000Z";"2781";414.7439880371;417.5119934082;413.2510070801;417.1310119629;81022896;6383105414.4;"2016-03-10T23:59:59.999Z"
"2016-03-09T00:00:00.000Z";"2016-03-09T23:59:59.999Z";"2016-03-09T17:04:19.000Z";"2016-03-09T08:09:20.000Z";"2781";413.8940124512;416.0320129395;411.6059875488;414.8599853516;70012304;6346735710;"2016-03-09T23:59:59.999Z"
"2016-03-08T00:00:00.000Z";"2016-03-08T23:59:59.999Z";"2016-03-08T05:29:20.000Z";"2016-03-08T13:34:19.000Z";"2781";414.4649963379;416.2430114746;411.0939941406;413.9719848633;70311696;6331422308.9;"2016-03-08T23:59:59.999Z"
"2016-03-07T00:00:00.000Z";"2016-03-07T23:59:59.999Z";"2016-03-07T23:19:20.000Z";"2016-03-07T02:19:19.000Z";"2781";407.7569885254;415.9169921875;406.3089904785;414.3210144043;85762400;6335164892.48;"2016-03-07T23:59:59.999Z"
"2016-03-06T00:00:00.000Z";"2016-03-06T23:59:59.999Z";"2016-03-06T16:19:19.000Z";"2016-03-06T01:19:23.000Z";"2781";400.5249938965;411.9070129395;395.7780151367;407.7070007324;91212496;6232667872.38;"2016-03-06T23:59:59.999Z"
"2016-03-05T00:00:00.000Z";"2016-03-05T23:59:59.999Z";"2016-03-05T04:39:20.000Z";"2016-03-05T16:44:20.000Z";"2781";410.7810058594;411.2569885254;394.0350036621;400.5700073242;135384992;6122091566.5;"2016-03-05T23:59:59.999Z"
